R-id,class,reactions,cluster
1141,3,CCCCCC(=O)c1c(CBr)nc2cc(OC)c(OC)cc2c1-c1ccc(OC)c(OC)c1.Cn1ccnc1S>>CCCCCC(=O)c1c(CSc2nccn2C)nc2cc(OC)c(OC)cc2c1-c1ccc(OC)c(OC)c1.Br,13
6231,1,CC(C)(C)OC(=O)C1(Cc2ccccc2)CC1.O.[H].[H].[H].[H]>>OCC1(Cc2ccccc2)CC1.CC(C)(C)O.O,4
28699,2,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.COc1ccc(Br)c(CNCc2ccc(C(F)(F)F)cc2)c1>>COc1ccc(Br)c(CN(Cc2ccc(C(F)(F)F)cc2)C(=O)OC(C)(C)C)c1.CC(C)(C)OC(=O)O,2
42271,1,C[C@@H](C(F)F)[C@H]1COC(=O)N1.Fc1ccnc(F)n1>>C[C@@H](C(F)F)[C@H]1COC(=O)N1c1ccnc(F)n1.F,16
13370,1,CC(C)(CO)CBr.O=c1cc(OCc2ccc(F)cc2)ccn1-c1ccc(O)cc1>>CC(C)(CO)COc1ccc(-n2ccc(OCc3ccc(F)cc3)cc2=O)cc1.Br,14
20313,6,CC(C)(C)OC(=O)CBr.O=C(OCc1ccccc1)c1ccc2[nH]ccc2c1>>CC(C)(C)OC(=O)Cn1ccc2cc(C(=O)OCc3ccccc3)ccc21.Br,0
14730,1,CC(C)=O.Cc1c[nH]c2cc(C(=O)N[C@@H](COCC3CCNCC3)c3ccccc3)ccc12.[H].[H]>>Cc1c[nH]c2cc(C(=O)N[C@@H](COCC3CCN(C(C)C)CC3)c3ccccc3)ccc12.O,12
29986,6,COCCCN1C(=O)CCc2ccc(COC3CN(C(=O)OC(C)(C)C)CCC3c3ccc(O)cc3)cc21.N#CCCCBr>>COCCCN1C(=O)CCc2ccc(COC3CN(C(=O)OC(C)(C)C)CCC3c3ccc(OCCCC#N)cc3)cc21.Br,14
5094,2,CCCCCCO.O=C(O)CBr>>CCCCCCOCC(=O)O.Br,14
12505,5,O=C(CC12CC3CC(CC(C3)C1)C2)Nc1ncnc2c1CCN(Cc1ccccc1)C2.O>>O=C(CC12CC3CC(CC(C3)C1)C2)Nc1ncnc2c1CCNC2.OCc1ccccc1,18
47588,1,COC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc3cn2c1N1CCC(C)(CC1)OCC=CC[C@H](C)Oc1cc(C)cc(F)c1-c1cccc-3c1.[H].[H]>>COC(=O)[C@@H](OC(C)(C)C)c1c(C)cc2nc3cn2c1N1CCC(C)(CC1)OCCCC[C@H](C)Oc1cc(C)cc(F)c1-c1cccc-3c1,21
21905,8,CC1(C)C2CCC(CCN3CCC4(CC3)C(=O)N(CCCCl)CN4c3ccccc3)C1C2.CN>>CNCCCN1CN(c2ccccc2)C2(CCN(CCC3CCC4CC3C4(C)C)CC2)C1=O.Cl,7
8338,1,COc1ccc(CN2CC(C)N(c3ccc(C(=O)N4CCN(c5nc(C)c(C)cc5C)CC4)c(F)c3)C2=O)cc1.O>>Cc1cc(C)c(N2CCN(C(=O)c3ccc(N4C(=O)NCC4C)cc3F)CC2)nc1C.COc1ccc(CO)cc1,18
26555,6,COC(=O)c1cc(C(=O)c2c(F)cc(F)cc2F)c[nH]1.[H].[H].[H].[H]>>COC(=O)c1cc(Cc2c(F)cc(F)cc2F)c[nH]1.O,22
29914,5,CC(Cl)OC(=O)OC1CCCCC1.CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2c[nH]c3ncc(-c4ccc(Cl)cc4)cc23)c1F>>CCCS(=O)(=O)Nc1ccc(F)c(C(=O)c2cn(C(C)OC(=O)OC3CCCCC3)c3ncc(-c4ccc(Cl)cc4)cc23)c1F.Cl,7
5769,2,CNc1ccccc1.Cc1cc(NC(=O)NCCN2CCC(C(=O)O)CC2)c2ccccc2n1>>Cc1cc(NC(=O)NCCN2CCC(C(=O)N(C)c3ccccc3)CC2)c2ccccc2n1.O,2
5459,1,CC(C)NC(=O)[C@H]1CCC(C)N1c1nncc2cc(Br)ccc12.Cc1ccc(C(=O)NC2CC2)cc1B1OC(C)(C)C(C)(C)O1>>Cc1ccc(C(=O)NC2CC2)cc1-c1ccc2c(N3C(C)CC[C@@H]3C(=O)NC(C)C)nncc2c1.CC1(C)OB(Br)OC1(C)C,15
2062,7,COC(=O)CCn1c(=O)n2n(c1=O)C(C(=O)O)C=CC2.O>>O=C(O)CCn1c(=O)n2n(c1=O)C(C(=O)O)C=CC2.CO,23
33613,1,C1CCNCC1.CC(C)(C)OC(=O)N1CCc2cn(-c3ccc(Br)cc3)nc2CC1>>CC(C)(C)OC(=O)N1CCc2cn(-c3ccc(N4CCCCC4)cc3)nc2CC1.Br,0
37013,1,CN(C)C(=O)N1CCCC(N2C(=O)c3ccccc3C2=O)C1.O.O>>CN(C)C(=O)N1CCCC(N)C1.O=C(O)c1ccccc1C(=O)O,24
45404,1,CB1OB(C)OB(C)O1.CCOC(=O)c1cc2cc(OC)c(Br)cc2n1C(=O)OC(C)(C)C>>CCOC(=O)c1cc2cc(OC)c(C)cc2n1C(=O)OC(C)(C)C.CB1OB(C)OB(Br)O1,15
2969,2,CCOC(=O)c1nnn(-c2ccc(F)c(Cl)c2)c1C.Nc1ccnc(Cl)c1>>Cc1c(C(=O)Nc2ccnc(Cl)c2)nnn1-c1ccc(F)c(Cl)c1.CCO,2
39598,6,C#CC(C)(C)O.Clc1nc(I)nc2[nH]cnc12>>CC(C)(O)C#Cc1nc(Cl)c2nc[nH]c2n1.I,25
30069,7,COc1cc(CCC(=O)O)ccc1O.NCc1ccc2ccccc2c1>>COc1cc(CCC(=O)NCc2ccc3ccccc3c2)ccc1O.O,2
23757,2,C1CNC1.CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)O)cc12>>CC(=O)N1CCC2(C1)CN(C(=O)Nc1ncc(Cl)s1)c1ccc(CCC(=O)N3CCC3)cc12.O,2
3960,6,O=C1Cc2ccccc2N1.O=C1OCc2cc(CC3OCCO3)ccc21>>O=C1Nc2ccccc2C1=C1OCc2cc(CC3OCCO3)ccc21.O,26
40791,2,CC[C@H](C)N.COC(=O)c1cc(Cl)nc(C2OCCCO2)c1>>CC[C@H](C)Nc1cc(C(=O)OC)cc(C2OCCCO2)n1.Cl,7
19643,1,CCOC(=O)c1n[nH]nc1C.FC(F)Cl>>CCOC(=O)c1nn(C(F)F)nc1C.Cl,7
23071,3,CC(C)(C)C(=O)OCc1nc(-c2cc(C(C)(C)C)c(O)c(C(C)(C)C)c2)cs1.O>>CC(C)(C)c1cc(-c2csc(CO)n2)cc(C(C)(C)C)c1O.CC(C)(C)C(=O)O,23
35733,2,CCc1oc2ccccc2c1C(=O)c1ccc(OC)cc1.I>>CCc1oc2ccccc2c1C(=O)c1ccc(O)cc1.CI,27
35444,9,COc1cc([N+](=O)[O-])ccc1I.[Na]CS>>COc1cc([N+](=O)[O-])ccc1SC.[Na]I,28
30642,8,CN(C)S(=O)(=O)Cl.NCC1CCC(CN)CC1>>CN(C)S(=O)(=O)NCC1CCC(CN)CC1.Cl,3
42783,6,CCOC(=O)Cc1c(C)[nH]c2ccc(OC)cc12.ClCc1ccc(Cl)cc1>>CCOC(=O)Cc1c(C)n(Cc2ccc(Cl)cc2)c2ccc(OC)cc12.Cl,7
34549,2,CC(=O)SCC(=O)N1CC(=O)C[C@H]1C(=O)O.O>>O=C1C[C@@H](C(=O)O)N(C(=O)CS)C1.CC(=O)O,29
43598,1,C=C(CC(=O)OCC)C(=O)OCC.Cc1c(N)ccc(I)c1[N+](=O)[O-]>>CCOC(=O)C/C(=C\c1ccc(N)c(C)c1[N+](=O)[O-])C(=O)OCC.I,25
14185,7,Cc1cnc(Cl)c2c1[nH]c1ccc3cc(O)ccc3c12.ClCCCN1CCCCC1>>Cc1cnc(Cl)c2c1[nH]c1ccc3cc(OCCCN4CCCCC4)ccc3c12.Cl,9
20773,3,O=C1Cc2c(I)cccc2N1.O=Cc1ccc[nH]1>>O=C1Nc2cccc(I)c2/C1=C/c1ccc[nH]1.O,26
21504,9,Brc1nccs1.C#Cc1ccc(NC(=O)OC(C)(C)C)c([N+](=O)[O-])c1>>CC(C)(C)OC(=O)Nc1ccc(C#Cc2nccs2)cc1[N+](=O)[O-].Br,30
315,7,CC(C)(C)C(=O)Cl.O=C(c1ccccc1)c1ccc(O)cc1>>CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccccc2)cc1.Cl,9
17490,1,CC(C)C(C)(C)N.Cc1ccc(S(=O)(=O)Cl)cc1>>Cc1ccc(S(=O)(=O)NC(C)(C)C(C)C)cc1.Cl,3
4780,5,CCOC(=O)c1cc2c(C)ccc(OCCO)c2[nH]1.CS(=O)(=O)Cl>>CCOC(=O)c1cc2c(C)ccc(OCCOS(C)(=O)=O)c2[nH]1.Cl,31
14988,1,CC(C)c1cc2c(c(-c3ccc(F)cc3)c1C(O)c1ccc(OC(F)(F)F)cc1)C(=O)CC(C)(C)O2.[H].[H]>>CC(C)c1cc2c(c(-c3ccc(F)cc3)c1[C@H](O)c1ccc(OC(F)(F)F)cc1)[C@@H](O)CC(C)(C)O2,32
5089,3,Brc1cccc(CN2CCCCC2)n1.O=Cc1ccc(B(O)O)cc1>>O=Cc1ccc(-c2cccc(CN3CCCCC3)n2)cc1.B(O)(O)Br,15
16070,3,COC(=O)c1ccc(OC)cc1-c1ccc(F)cc1.O>>COc1ccc(C(=O)O)c(-c2ccc(F)cc2)c1.CO,23
8976,1,CC(C)(C)[Si](C)(C)Oc1ccc(Br)cc1.CNCC(C)C>>CC(C)CN(C)c1ccc(O[Si](C)(C)C(C)(C)C)cc1.Br,0
34804,3,CC(C)(C#N)c1ccc(B(O)O)cc1.Nc1ncc(Br)nc1-c1ccc2c(c1)CCNC2=O>>CC(C)(C#N)c1ccc(-c2cnc(N)c(-c3ccc4c(c3)CCNC4=O)n2)cc1.B(O)(O)Br,15
24014,2,BrCc1ccccc1.C=CCc1ccc2cccnc2c1O>>C=CCc1ccc2cccnc2c1OCc1ccccc1.Br,14
29408,4,Cc1c(-c2cc3ccccc3o2)oc(=O)c(C)c1O.O=C(Cl)c1ccccc1>>Cc1c(-c2cc3ccccc3o2)oc(=O)c(C)c1OC(=O)c1ccccc1.Cl,9
24076,2,CONC(=O)c1cc(N2CCC(NC(=O)c3[nH]c(C)c(Cl)c3Cl)CC2)nc(SC)n1.O=C(OO)c1cccc(Cl)c1>>CONC(=O)c1cc(N2CCC(NC(=O)c3[nH]c(C)c(Cl)c3Cl)CC2)nc(S(C)=O)n1.O=C(O)c1cccc(Cl)c1,33
35901,7,CC(C)(C)OC(=O)N[C@H](COS(C)(=O)=O)CC1(F)CCCCC1.CN>>CNC[C@H](CC1(F)CCCCC1)NC(=O)OC(C)(C)C.CS(=O)(=O)O,2
24128,1,Nc1cnccc1O.O=C(O)c1ccc([N+](=O)[O-])s1>>O=C(Nc1cnccc1O)c1ccc([N+](=O)[O-])s1.O,2
44052,2,CCOC(=O)n1cc(-n2c(-c3cn(CCCOC(C)=O)c4ccccc34)c(C(N)=O)[nH]c2=O)c2ccccc21>>CCOC(=O)n1cc(-n2c(-c3cn(CCCOC(C)=O)c4ccccc34)c(C#N)[nH]c2=O)c2ccccc21.O,34
22087,3,COC(=O)[C@H]1CN(Cc2ccccc2)C[C@@H]1c1ccc(Cl)c(Cl)c1.O.[H].[H].[H].[H]>>OC[C@H]1CN(Cc2ccccc2)C[C@@H]1c1ccc(Cl)c(Cl)c1.CO.O,4
33822,6,NC(=O)NCc1ccc(CNC(=O)[C@H](N)CCCNC(N)=N[N+](=O)[O-])cc1.O=C(O)c1cccc2[nH]ccc12>>NC(=O)NCc1ccc(CNC(=O)[C@@H](CCCNC(N)=N[N+](=O)[O-])NC(=O)c2cccc3[nH]ccc23)cc1.O,2
17468,6,CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2Cl)cc1.OB(O)c1ccsc1>>CS(=O)(=O)c1ccc(-c2cnn(Cc3ccccc3)c(=O)c2-c2ccsc2)cc1.B(O)(O)Cl,1
35291,1,CCOC(=O)COc1ccc(C(=O)CC)cc1.O=C(c1ccc(O)cc1)c1ccc(O)cc1.[H].[H].[H].[H]>>CCOC(=O)COc1ccc(C(CC)=C(c2ccc(O)cc2)c2ccc(O)cc2)cc1.O.O,35
15111,1,NNc1ccc(F)cc1.O=Cc1cccc(O)c1O>>Oc1cccc(C=NNc2ccc(F)cc2)c1O.O,36
9611,2,CI.Cc1cnc(N2CCN(C(=O)c3ccc(N4CCCNC4=O)cc3)CC2)c(C)c1>>Cc1cnc(N2CCN(C(=O)c3ccc(N4CCCN(C)C4=O)cc3)CC2)c(C)c1.I,19
37349,3,C=O.COCCOc1cncc(OC[C@@H]2CCCN2)c1.[H].[H]>>COCCOc1cncc(OC[C@@H]2CCCN2C)c1.O,12
39706,7,COC(=O)c1cc(CN2CCOCC2)co1.O.[H].[H].[H].[H]>>OCc1cc(CN2CCOCC2)co1.CO.O,4
34783,4,Clc1nc(-c2ccc(N3CCOCC3)cc2)cc2ncccc12.Nc1ccc2cn[nH]c2c1>>c1cnc2cc(-c3ccc(N4CCOCC4)cc3)nc(Nc3ccc4cn[nH]c4c3)c2c1.Cl,7
36262,8,OC(c1ccccc1)(c1ccccc1)c1ccncc1.[H].[H]>>c1ccc(C(c2ccccc2)c2ccncc2)cc1.O,37
12063,6,CCC1(F)CN(C2CCCC2)c2nc(Cl)ncc2NC1=O.CI>>CCC1(F)CN(C2CCCC2)c2nc(Cl)ncc2N(C)C1=O.I,19
49541,1,CCCCCBr.COc1cc(C=O)cc(OC)c1O>>CCCCCOc1c(OC)cc(C=O)cc1OC.Br,14
10213,4,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.O=[N+]([O-])c1cccc2[nH]nc(I)c12>>CC(C)(C)OC(=O)n1nc(I)c2c([N+](=O)[O-])cccc21.CC(C)(C)OC(=O)O,2
6527,7,Cc1ccc(C(CC(=O)O)NC(=O)Nc2ccc(-c3ccccc3)cc2)cc1.NCCN1CCCC1>>Cc1ccc([C@@H](CC(=O)NCCN2CCCC2)NC(=O)Nc2ccc(-c3ccccc3)cc2)cc1.O,2
8329,7,CC(=O)OC(C)=O.C[Si](C)(C)CCOC(=O)C[C@]1(c2ccc(-c3ccc(-c4ccc(N)cc4)cc3)s2)CCCCS1(=O)=O>>CC(=O)Nc1ccc(-c2ccc(-c3ccc([C@@]4(CC(=O)OCC[Si](C)(C)C)CCCCS4(=O)=O)s3)cc2)cc1.CC(=O)O,2
15701,1,Nc1ccc2c(c1)CCC1(C2)NC(=O)NC1=O.O=C(O)c1cccc(Cl)c1>>O=C1NC(=O)C2(CCc3cc(NC(=O)c4cccc(Cl)c4)ccc3C2)N1.O,2
12468,1,Brc1cnc2[nH]ccc2c1.CC(=O)Oc1cccc(C(=O)Cl)c1C>>CC(=O)Oc1cccc(C(=O)c2c[nH]c3ncc(Br)cc23)c1C.Cl,38
44079,7,Cc1cc(O)ccc1Cl.O=S(=O)(Cl)c1ccccc1>>Cc1cc(OS(=O)(=O)c2ccccc2)ccc1Cl.Cl,31
34501,1,CN(C(=O)N(C)[C@@H]1CN(C(=O)C2CNC2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.O=C(Cl)c1ccccc1>>CN(C(=O)N(C)[C@@H]1CN(C(=O)C2CN(C(=O)c3ccccc3)C2)C[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.Cl,7
19466,6,COCCn1ccc(NC(=O)c2nc(C)ccc2N)n1.Fc1ccnc(Cl)c1>>COCCn1ccc(NC(=O)c2nc(C)ccc2Nc2cc(F)ccn2)n1.Cl,7
18786,1,CC(C)(C)OC(=O)N1CC[C@H]1COc1cncc([Sn](C)(C)C)c1.Ic1cccc(OCCCc2ccccc2)c1>>CC(C)(C)OC(=O)N1CC[C@H]1COc1cncc(-c2cccc(OCCCc3ccccc3)c2)c1.C[Sn](C)(C)I,39
48733,3,CCN(Cc1cncc(-c2ccc3c(c2)c(-c2ncc(C(=O)O)[nH]2)nn3C2CCCCO2)c1C)C(=O)OC(C)(C)C.NCc1cccnc1>>CCN(Cc1cncc(-c2ccc3c(c2)c(-c2ncc(C(=O)NCc4cccnc4)[nH]2)nn3C2CCCCO2)c1C)C(=O)OC(C)(C)C.O,2
15728,1,CCOC(=O)c1ccc(-c2cc(C(N)=O)c(NC(N)=O)[nH]2)cc1.O.[H].[H].[H].[H]>>NC(=O)Nc1[nH]c(-c2ccc(CO)cc2)cc1C(N)=O.CCO.O,4
22997,1,CNC1CCCCC1.COC(=O)c1cc2nc(C)cc(-c3ccccc3)n2n1>>Cc1cc(-c2ccccc2)n2nc(C(=O)N(C)C3CCCCC3)cc2n1.CO,2
37871,1,CCNCC.COc1c(C)cc(C(=O)c2c(-c3ccc(OCCBr)cc3)oc3ccccc23)cc1C>>CCN(CC)CCOc1ccc(-c2oc3ccccc3c2C(=O)c2cc(C)c(OC)c(C)c2)cc1.Br,0
49036,4,CC(=O)CCC(=S)Cl.O=C1NC(C(=O)O)Cc2ccccc21>>CC(=O)CCC(=S)N1C(=O)c2ccccc2CC1C(=O)O.Cl,7
29476,2,CC(C)(C)C(=O)Cl.O=C(c1ccc(O)cc1)c1ccc(Cl)cc1>>CC(C)(C)C(=O)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1.Cl,9
47099,1,Brc1cn(-c2ccccn2)cn1.OB(O)c1cccc(Cl)c1>>Clc1cccc(-c2cn(-c3ccccn3)cn2)c1.B(O)(O)Br,15
31057,3,CC(C)O.O=C(Cl)C(Cl)Cc1cc(N2C(=O)c3ccccc3C2=O)c(F)cc1Cl>>CC(C)OC(=O)C(Cl)Cc1cc(N2C(=O)c3ccccc3C2=O)c(F)cc1Cl.Cl,9
13220,3,CC(C)(C)OC(=O)N1CCOC(c2ccc(Br)cc2)C1.NC(=O)c1ccc(C(F)(F)F)cn1>>CC(C)(C)OC(=O)N1CCOC(c2ccc(NC(=O)c3ccc(C(F)(F)F)cn3)cc2)C1.Br,0
8605,1,O=C(Cl)CCCCCBr.c1ccccc1>>O=C(CCCCCBr)c1ccccc1.Cl,38
13053,2,Nc1ccccc1F.O=[N+]([O-])c1ccccc1F>>O=[N+]([O-])c1ccccc1Nc1ccccc1F.F,16
37127,7,COC(=O)c1sc(Br)cc1NC(=O)NC1CCN(C(=O)OC(C)(C)C)CC1>>CC(C)(C)OC(=O)N1CCC(n2c(=O)[nH]c3cc(Br)sc3c2=O)CC1.CO,40
33726,7,CC1Cc2ccc(-c3ncc(C(=O)O)s3)cc2CN1c1cc(N2CCN(C)CC2)nc(N)n1.CN>>CNC(=O)c1cnc(-c2ccc3c(c2)CN(c2cc(N4CCN(C)CC4)nc(N)n2)C(C)C3)s1.O,2
15070,1,Clc1cc2nccnc2c(Cl)n1.NCCCN>>NCCCNc1nc(Cl)cc2nccnc12.Cl,7
23442,1,COc1ccc(S(=O)(=O)Cl)cc1OC.NC(Cc1cccnc1)C(=O)N1CCN(C(c2ccccc2)c2ccccc2)CC1>>COc1ccc(S(=O)(=O)NC(Cc2cccnc2)C(=O)N2CCN(C(c3ccccc3)c3ccccc3)CC2)cc1OC.Cl,3
